Номер счёта;Тип операции (пополнение/списание);Категория операции;Статус;Дата проведения;Дата транзакции;Номер платежа;Код ВО;Валюта операции;Сумма в валюте счёта;Валюта счёта;Описание операции;Назначение платежа;Счет плательщика;ИНН плательщика;КПП плательщика;Наименование плательщика;БИК банка плательщика;Корр. счет плательщика;Счет получателя;Договор получателя;ИНН получателя;КПП получателя;Наименование получателя;БИК банка получателя;Корр. счет получателя;Счет контрагента;ИНН контрагента;Наименование контрагента;БИК банка контрагента;MCC;Банк;КБК-код бюджетной классификации;Основание налогового платежа;Налоговый период;Код (УИН)
40802810999900000001;Кредит;Входящие платежи;Транзакция;01.08.2024;01.08.2024;100828;01;643;125000;643;Стартовая оплата по договору DEMO-START;Аванс покупателя по договору DEMO-START. НДС не облагается.;40702810999910000001;9901000001;990101001;ООО АЛЬФА-ДЕМО;044500901;30101810999990000901;40802810999900000001;DEMO-START;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999910000001;9901000001;ООО АЛЬФА-ДЕМО;044500901;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;02.08.2024;02.08.2024;100023;01;643;85000;643;Аренда помещения за 08.2024;Арендная плата по договору RENT-DEMO-001 за 08.2024.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000003;RENT-DEMO-001;9903000003;990301003;ООО БИЗНЕС-ЦЕНТР ДЕМО;044500923;30101810999990000923;40702810999930000003;9903000003;ООО БИЗНЕС-ЦЕНТР ДЕМО;044500923;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;03.08.2024;03.08.2024;100031;01;643;400000;643;Взнос собственника на развитие бизнеса;Внесение собственных средств предпринимателя. НДС не облагается.;40817810999900000002;990000000001;0;ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500998;30101810999990000998;40802810999900000001;OWNER-DEMO;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40817810999900000002;990000000001;ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500998;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;05.08.2024;04.08.2024;100006;17;643;46400,36;643;Зачисление выручки ИНТЕРНЕТ-ЭКВАЙРИНГ по реестру 202408001;Перевод средств по реестру операций 202408001. Канал: ИНТЕРНЕТ-ЭКВАЙРИНГ. НДС не облагается.;30232810999900000001;9900000030;990001003;АО ДЕМО ЭКВАЙРИНГ;044500996;30101810999990000996;40802810999900000001;DEMO-ACQ-001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;30232810999900000001;9900000030;АО ДЕМО ЭКВАЙРИНГ;044500996;;АО ДЕМО ЭКВАЙРИНГ;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;05.08.2024;05.08.2024;100003;01;643;76685,75;643;Оплата от покупателя по счету DEMO-202408-003;Оплата товаров по счету DEMO-202408-003. НДС не облагается.;40702810999910000004;9901000004;990101004;ООО ДЕЛЬТА-ШОП;044500904;30101810999990000904;40802810999900000001;Договор DEMO-0004;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999910000004;9901000004;ООО ДЕЛЬТА-ШОП;044500904;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;07.08.2024;07.08.2024;100025;01;643;12230;643;Подписка на программное обеспечение;Лицензии и облачные сервисы за 08.2024.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000005;SOFT-DEMO-001;9903000005;990301005;ООО СОФТ ДЕМО;044500925;30101810999990000925;40702810999930000005;9903000005;ООО СОФТ ДЕМО;044500925;;АО ДЕМО БАНК;;;;
40802810999900000001;Кредит;Входящие платежи;Транзакция;08.08.2024;08.08.2024;100001;01;643;90255,25;643;Оплата от покупателя по счету DEMO-202408-001;Оплата товаров по счету DEMO-202408-001. НДС не облагается.;40702810999910000002;9901000003;990101002;ООО БЕТА-ТЕСТ;044500902;30101810999990000902;40802810999900000001;Договор DEMO-0002;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999910000002;9901000003;ООО БЕТА-ТЕСТ;044500902;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;08.08.2024;08.08.2024;100019;01;643;22452;643;Маркетинг и реклама за 08.2024;"Рекламная кампания MEDIA-202408; продвижение и аналитика.";40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999930000002;DEMO-MEDIA-001;9903000002;990301002;ООО МЕДИА ТЕСТ;044500922;30101810999990000922;40702810999930000002;9903000002;ООО МЕДИА ТЕСТ;044500922;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;11.08.2024;11.08.2024;100014;01;643;133119,26;643;Оплата поставщику за партию сырья 2024-08-1;Оплата материалов и производства по счету SUP-202408-1. В том числе НДС 20%.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999920000002;DEMO-SUPPLY-001;9902000001;990201001;ООО ДЕМО СЫРЬЁ;044500911;30101810999990000912;40702810999920000002;9902000001;ООО ДЕМО СЫРЬЁ;044500911;;АО ДЕМО БАНК;;;;
40802810999900000001;Дебет;Исходящие платежи;Транзакция;11.08.2024;11.08.2024;100017;01;643;18608;643;Разработка продукта и тестовые образцы за 08.2024;Изготовление прототипов и тестовой партии по этапу DEV-202408.;40802810999900000001;990000000001;0;ИП ДЕМОНОВ АЛЕКСЕЙ ТЕСТОВИЧ;044500999;30101810999990000999;40702810999920000003;DEMO-RND-001;9902000003;990201003;ООО МАКЕТ-ЛАБ;044500913;30101810999990000913;40702810999920000003;9902000003;ООО МАКЕТ-ЛАБ;044500913;;АО ДЕМО БАНК;;;;
